newvar,var1,var2,operation,unit_conversion,unit,join_byvars
Energy intensity,Energy,Vehicle Activity,/,1,MJ per vkm,"Model,Scenario,Region,Service,Mode,Vehicle_type,Technology,Fuel,Liquid_fuel_type,year"
Passenger energy intensity,Energy,Passenger Activity,/,1,MJ per pkm,"Model,Scenario,Region,Service,Mode,Vehicle_type,Technology,Fuel,Liquid_fuel_type,year"
Freight energy intensity,Energy,Freight Activity,/,1,MJ per tkm,"Model,Scenario,Region,Service,Mode,Vehicle_type,Technology,Fuel,Liquid_fuel_type,year"
Energy intensity (new vehicles),sales_weighted_intensity_new,Sales (new vehicles),/,1,MJ per vkm,"Model,Scenario,Region,Service,Mode,Vehicle_type,Technology,Fuel,Liquid_fuel_type,year"
Price,energy_weighted_price,Energy,/,1,USD (2010) / litre,"Model,Scenario,Region,year"
Passenger load factor,Passenger Activity,Vehicle Activity,/,1,passengers per vehicle,"Model,Scenario,Region,Service,Mode,Vehicle_type,Technology,Fuel,Liquid_fuel_type,year"
Freight load factor,Freight Activity,Vehicle Activity,/,1,tonnes per vehicle,"Model,Scenario,Region,Service,Mode,Vehicle_type,Technology,Fuel,Liquid_fuel_type,year"
Energy per capita,Energy,Population,/,1,GJ/person/yr,"Model,Scenario,Region,year"
Passenger Activity per capita,Passenger Activity,Population,/,1,thousand pkm/person/yr,"Model,Scenario,Region,year"
Freight Activity per capita,Freight Activity,Population,/,1,thousand tkm/person/yr,"Model,Scenario,Region,year"
Stock per capita,Stock,Population,/,1000,Vehicles per thousand persons,"Model,Scenario,Region,year"
GDP per capita,GDP,Population,/,1,thous US$2010/pers/yr,"Model,Scenario,Region,year"
CO2 Emissions (ttw) per GDP,CO2 Emissions (ttw),GDP,/,1,kg CO2/US$2010,"Model,Scenario,Region,year"